IATA/FAA,ICAO,Location,Altitude,Timezone,DST,Tz
GKA,AYGA,"-6.081689,145.391881",5282,10,U,Pacific/Port_Moresby
MAG,AYMD,"-5.207083,145.7887",20,10,U,Pacific/Port_Moresby
HGU,AYMH,"-5.826789,144.295861",5388,10,U,Pacific/Port_Moresby
LAE,AYNZ,"-6.569828,146.726242",239,10,U,Pacific/Port_Moresby
POM,AYPY,"-9.443383,147.22005",146,10,U,Pacific/Port_Moresby
WWK,AYWK,"-3.583828,143.669186",19,10,U,Pacific/Port_Moresby
UAK,BGBW,"61.160517,-45.425978",112,-3,E,America/Godthab
GOH,BGGH,"64.190922,-51.678064",283,-3,E,America/Godthab
SFJ,BGSF,"67.016969,-50.689325",165,-3,E,America/Godthab
THU,BGTL,"76.531203,-68.703161",251,-4,E,America/Thule
AEY,BIAR,"65.659994,-18.072703",6,0,N,Atlantic/Reykjavik
EGS,BIEG,"65.283333,-14.401389",76,0,N,Atlantic/Reykjavik
HFN,BIHN,"64.295556,-15.227222",24,0,N,Atlantic/Reykjavik
HZK,BIHU,"65.952328,-17.425978",48,0,N,Atlantic/Reykjavik
IFJ,BIIS,"66.058056,-23.135278",8,0,N,Atlantic/Reykjavik
KEF,BIKF,"63.985,-22.605556",171,0,N,Atlantic/Reykjavik
PFJ,BIPA,"65.555833,-23.965",11,0,N,Atlantic/Reykjavik
RKV,BIRK,"64.13,-21.940556",48,0,N,Atlantic/Reykjavik
SIJ,BISI,"66.133333,-18.916667",10,0,N,Atlantic/Reykjavik
